,Date,금값,두바이유가,GDP,생산자물가지수(%),소비자물가지수,월평균 임금,통화공급량,한국_시장금리,미국_시장금리,기준환율
0,2011-01-31,1362.2380952380952,,328096.0,5.70%,88.288,2487339.0,7.20%,3.09,0.1,1120.0714285714287
1,2011-02-28,1375.715,,,6.80%,88.892,,6.80%,,,1118.1411764705883
2,2011-03-31,1422.9391304347826,,,7.40%,89.238,,6.80%,,,1122.4454545454546
3,2011-04-30,1482.5,,343678.8,8.20%,89.325,,6.60%,,,1086.838095238095
4,2011-05-31,1512.4772727272727,,,8.10%,89.497,,6.60%,,,1083.535
5,2011-06-30,1528.559090909091,,,7.50%,89.67,,5.90%,,,1081.2714285714287
6,2011-07-31,1574.6047619047617,,349987.0,7.20%,90.102,,6.20%,,,1059.5
7,2011-08-31,1761.4347826086957,,,7.00%,90.707,,7.10%,,,1073.168181818182
8,2011-09-30,1769.7454545454545,,,6.90%,90.62,,7.10%,,,1118.6100000000001
9,2011-10-31,1671.0428571428572,,367175.4,6.30%,90.448,,7.30%,,,1155.4450000000002
10,2011-11-30,1741.0136363636366,,,5.80%,90.534,,7.60%,,,1132.3136363636365
11,2011-12-31,1644.642857142857,,,5.10%,90.879,,7.80%,,,1147.4545454545455
12,2012-01-31,1660.8809523809523,,344574.6,4.30%,91.242,2619833.0,8.40%,3.08,0.14,1145.85
13,2012-02-29,1746.2285714285715,,,3.20%,91.588,,8.20%,,,1123.347619047619
14,2012-03-31,1676.3181818181818,,,3.10%,91.614,,8.30%,,,1125.904761904762
15,2012-04-30,1651.72,,358275.7,2.40%,91.605,,9.90%,,,1135.55
16,2012-05-31,1587.121739130435,,,2.40%,91.769,,9.60%,,,1154.2666666666667
17,2012-06-30,1601.852380952381,,,1.90%,91.639,,8.60%,,,1165.5049999999999
18,2012-07-31,1594.2454545454545,,361834.3,0.80%,91.432,,9.20%,,,1143.3636363636363
19,2012-08-31,1633.0695652173913,,,-0.10%,91.855,,9.60%,,,1131.6909090909091
20,2012-09-30,1748.8349999999998,,,0.30%,92.512,,9.00%,,,1124.775
21,2012-10-31,1746.0782608695654,,375426.7,1.00%,92.339,,9.20%,,,1106.9285714285713
22,2012-11-30,1723.4,,,0.20%,92.011,,8.90%,,,1087.5181818181818
23,2012-12-31,1685.595,,,-0.20%,92.175,,7.80%,,,1076.9736842105262
24,2013-01-31,1672.140909090909,,355384.7,-1.20%,92.728,2736921.0,7.50%,2.59,0.11,1065.3545454545454
25,2013-02-28,1627.0,,,-1.60%,93.038,,8.00%,,,1086.6789473684212
26,2013-03-31,1591.665,,,-1.60%,92.952,,8.00%,,,1102.1950000000002
27,2013-04-30,1485.0454545454545,,373096.5,-2.40%,92.823,,8.20%,,,1121.831818181818
28,2013-05-31,1414.8826086956522,,,-2.80%,92.823,,7.10%,,,1110.6666666666667
29,2013-06-30,1342.315,,,-2.60%,92.71,,7.60%,,,1135.2105263157894
30,2013-07-31,1282.517391304348,,379887.2,-1.40%,92.909,,7.30%,,,1127.2304347826087
31,2013-08-31,1352.2772727272727,,,-0.90%,93.238,,6.80%,,,1116.9761904761904
32,2013-09-30,1349.209523809524,,,-1.30%,93.419,,6.80%,,,1087.35
33,2013-10-31,1317.0391304347827,,392450.8,-1.80%,93.134,,7.30%,,,1066.7952380952381
34,2013-11-30,1274.0,,,-1.40%,93.116,,6.70%,,,1062.8238095238096
35,2013-12-31,1223.9190476190477,,,-0.90%,93.229,,7.40%,,,1056.6666666666667
36,2014-01-31,1243.9818181818182,,373559.7,-0.40%,93.73,2838343.0,7.40%,2.34,0.09,1064.75
37,2014-02-28,1301.905,,,-0.30%,93.98,,7.10%,,,1071.3
38,2014-03-31,1336.5285714285715,,,-0.90%,94.153,,7.80%,,,1070.8857142857141
39,2014-04-30,1298.747619047619,104.0,388566.9,-0.50%,94.214,,7.30%,,,1044.5545454545454
40,2014-05-31,1286.7545454545455,104.0,,-0.30%,94.369,,6.60%,,,1024.9894736842105
41,2014-06-30,1282.5666666666668,104.0,,0.00%,94.248,,6.90%,,,1019.357894736842
42,2014-07-31,1311.317391304348,105.99045454545454,393425.4,0.10%,94.386,,7.70%,,,1019.9260869565217
43,2014-08-31,1296.6809523809522,102.49761904761904,,0.20%,94.551,,7.40%,,,1025.3600000000001
44,2014-09-30,1237.7681818181818,97.47333333333333,,-0.20%,94.49,,8.30%,,,1033.2421052631578
45,2014-10-31,1223.5695652173913,88.38608695652174,407377.0,-0.40%,94.205,,7.90%,,,1060.2809523809524
46,2014-11-30,1176.405,77.99947368421053,,-0.70%,94.015,,7.90%,,,1095.1
47,2014-12-31,1200.409090909091,62.71272727272728,,-0.90%,94.006,,8.10%,,,1104.3272727272727
48,2015-01-31,1255.0619047619048,46.714999999999996,394273.0,-2.00%,94.643,2926186.0,8.70%,1.65,0.13,1088.8619047619047
49,2015-02-28,1224.6399999999999,54.82526315789474,,-3.60%,94.587,,8.50%,,,1098.3999999999999
50,2015-03-31,1177.8136363636365,55.42454545454545,,-3.60%,94.596,,8.20%,,,1112.5681818181818
51,2015-04-30,1199.8772727272726,57.15272727272727,411386.8,-3.70%,94.625,,8.60%,,,1088.6636363636362
52,2015-05-31,1197.595238095238,64.12899999999999,,-3.60%,94.89,,9.00%,,,1091.2722222222224
53,2015-06-30,1181.159090909091,62.07454545454546,,-3.50%,94.909,,9.30%,,,1112.1954545454546
54,2015-07-31,1130.2347826086957,57.30333333333333,420790.8,-3.60%,95.08,,9.50%,,,1143.2217391304348
55,2015-08-31,1118.8190476190478,49.09238095238096,,-4.00%,95.213,,9.70%,,,1179.1
56,2015-09-30,1123.7272727272727,46.21380952380952,,-4.40%,94.966,,9.00%,,,1184.7549999999999
57,2015-10-31,1159.390909090909,46.65590909090909,431569.8,-4.50%,94.966,,8.90%,,,1148.1809523809522
58,2015-11-30,1082.6142857142859,43.017,,-4.50%,94.786,,9.20%,,,1151.9666666666667
59,2015-12-31,1068.5863636363638,35.90136363636364,,-4.60%,95.07,,9.00%,,,1172.2363636363636
60,2016-01-31,1096.83,27.557368421052633,413495.1,-3.90%,95.232,3030286.0,7.80%,1.34,0.4,1201.665
61,2016-02-29,1201.9190476190477,29.311500000000002,,-3.30%,95.64,,8.30%,,,1217.35
62,2016-03-31,1245.5318181818182,34.65136363636364,,-3.40%,95.393,,8.60%,,,1188.2136363636364
63,2016-04-30,1243.8428571428572,37.62285714285714,434536.3,-3.30%,95.573,,8.30%,,,1147.51
64,2016-05-31,1258.5863636363638,43.44571428571429,,-3.10%,95.63,,8.40%,,,1171.51
