Date,Consumer
2011-01-31,88.288
2011-02-28,88.892
2011-03-31,89.238
2011-04-30,89.325
2011-05-31,89.497
2011-06-30,89.67
2011-07-31,90.102
2011-08-31,90.707
2011-09-30,90.62
2011-10-31,90.448
2011-11-30,90.534
2011-12-31,90.879
2012-01-31,91.242
2012-02-29,91.588
2012-03-31,91.614
2012-04-30,91.605
2012-05-31,91.769
2012-06-30,91.639
2012-07-31,91.432
2012-08-31,91.855
2012-09-30,92.512
2012-10-31,92.339
2012-11-30,92.011
2012-12-31,92.175
2013-01-31,92.728
2013-02-28,93.038
2013-03-31,92.952
2013-04-30,92.823
2013-05-31,92.823
2013-06-30,92.71
2013-07-31,92.909
2013-08-31,93.238
2013-09-30,93.419
2013-10-31,93.134
2013-11-30,93.116
2013-12-31,93.229
2014-01-31,93.73
2014-02-28,93.98
2014-03-31,94.153
2014-04-30,94.214
2014-05-31,94.369
2014-06-30,94.248
2014-07-31,94.386
2014-08-31,94.551
2014-09-30,94.49
2014-10-31,94.205
2014-11-30,94.015
2014-12-31,94.006
2015-01-31,94.643
2015-02-28,94.587
2015-03-31,94.596
2015-04-30,94.625
2015-05-31,94.89
2015-06-30,94.909
2015-07-31,95.08
2015-08-31,95.213
2015-09-30,94.966
2015-10-31,94.966
2015-11-30,94.786
2015-12-31,95.07
2016-01-31,95.232
2016-02-29,95.64
2016-03-31,95.393
2016-04-30,95.573
2016-05-31,95.63
2016-06-30,95.611
2016-07-31,95.431
2016-08-31,95.677
2016-09-30,96.247
2016-10-31,96.379
2016-11-30,96.237
2016-12-31,96.342
2017-01-31,97.366
2017-02-28,97.632
2017-03-31,97.565
2017-04-30,97.442
2017-05-31,97.546
2017-06-30,97.338
2017-07-31,97.499
2017-08-31,98.058
2017-09-30,98.172
2017-10-31,98.077
2017-11-30,97.347
2017-12-31,97.698
2018-01-31,98.106
2018-02-28,98.855
2018-03-31,98.751
2018-04-30,98.931
2018-05-31,98.979
2018-06-30,98.779
2018-07-31,98.59
2018-08-31,99.462
2018-09-30,100.221
2018-10-31,100.041
2018-11-30,99.33
2018-12-31,98.988
2019-01-31,98.884
2019-02-28,99.311
2019-03-31,99.121
2019-04-30,99.481
2019-05-31,99.652
2019-06-30,99.491
2019-07-31,99.187
2019-08-31,99.425
2019-09-30,99.794
2019-10-31,100.041
2019-11-30,99.481
2019-12-31,99.719
2020-01-31,100.09
2020-02-29,100.16
2020-03-31,99.94
2020-04-30,99.5
2020-05-31,99.44
2020-06-30,99.71
2020-07-31,99.63
2020-08-31,100.19
2020-09-30,100.74
2020-10-31,100.18
2020-11-30,100.09
2020-12-31,100.33
2021-01-31,101.04
2021-02-28,101.58
2021-03-31,101.84
2021-04-30,101.98
2021-05-31,102.05
2021-06-30,102.05
2021-07-31,102.26
2021-08-31,102.75
2021-09-30,103.17
2021-10-31,103.35
2021-11-30,103.87
2021-12-31,104.04
2022-01-31,104.69
2022-02-28,105.3
2022-03-31,106.06
2022-04-30,106.85
2022-05-31,107.56
2022-06-30,108.22
2022-07-31,108.74
2022-08-31,108.62
2022-09-30,108.93
2022-10-31,109.21
2022-11-30,109.1
2022-12-31,109.28
